M    ,CL   ,K
0.64 ,0.35 ,0.124829
0.65 ,0.35 ,0.124831
0.66 ,0.35 ,0.124832
0.67 ,0.35 ,0.124834
0.68 ,0.35 ,0.124836
0.69 ,0.35 ,0.124838
0.7  ,0.35 ,0.124839
0.71 ,0.35 ,0.124841
0.72 ,0.35 ,0.124843
0.73 ,0.35 ,0.124845
0.74 ,0.35 ,0.124846
0.75 ,0.35 ,0.124848
0.76 ,0.35 ,0.12485
0.77 ,0.35 ,0.124852
0.78 ,0.35 ,0.124854
0.79 ,0.35 ,0.124855
0.8  ,0.35 ,0.124857
0.81 ,0.35 ,0.124859
0.82 ,0.35 ,0.124861
0.83 ,0.35 ,0.124862
0.84 ,0.35 ,0.124864
0.85 ,0.35 ,0.124866
0.86 ,0.35 ,0.124868
0.87 ,0.35 ,0.12487
0.88 ,0.35 ,0.124871
0.89 ,0.35 ,0.125144
0.9  ,0.35 ,0.125498
0.91 ,0.35 ,0.125851
0.92 ,0.35 ,0.126205
0.93 ,0.35 ,0.126875
0.94 ,0.35 ,0.127655
0.95 ,0.35 ,0.128436
0.96 ,0.35 ,0.129217
0.97 ,0.35 ,0.130193
0.98 ,0.35 ,0.131251
0.99 ,0.35 ,0.132621
1    ,0.35 ,0.13414
1.01 ,0.35 ,0.136155
1.02 ,0.35 ,0.138301
1.03 ,0.35 ,0.141088
1.04 ,0.35 ,0.144048
1.05 ,0.35 ,0.147008
1.06 ,0.35 ,0.149969
1.07 ,0.35 ,0.154162
1.08 ,0.35 ,0.15855
1.09 ,0.35 ,0.162938
1.1  ,0.35 ,0.167326
1.11 ,0.35 ,0.171382
1.12 ,0.35 ,0.174829
1.13 ,0.35 ,0.178277
1.14 ,0.35 ,0.181724
1.15 ,0.35 ,0.185171
1.16 ,0.35 ,0.188619
1.17 ,0.35 ,0.192066
1.18 ,0.35 ,0.195514
1.19 ,0.35 ,0.198961
1.2  ,0.35 ,0.201745
1.21 ,0.35 ,0.204187
1.22 ,0.35 ,0.206628
1.23 ,0.35 ,0.20907
1.24 ,0.35 ,0.211512
1.25 ,0.35 ,0.213953
1.26 ,0.35 ,0.216395
1.27 ,0.35 ,0.218837
1.28 ,0.35 ,0.221279
1.29 ,0.35 ,0.22372
1.3  ,0.35 ,0.226162
1.31 ,0.35 ,0.228604
1.32 ,0.35 ,0.231046
1.33 ,0.35 ,0.233487
1.34 ,0.35 ,0.235929
1.35 ,0.35 ,0.238371
1.36 ,0.35 ,0.240812
1.37 ,0.35 ,0.243254
1.38 ,0.35 ,0.245696
1.39 ,0.35 ,0.248138
1.4  ,0.35 ,0.250579
1.41 ,0.35 ,0.253021
0.21 ,0.40 ,0.138694
0.22 ,0.40 ,0.138723
0.23 ,0.40 ,0.138751
0.24 ,0.40 ,0.13878
0.25 ,0.40 ,0.138808
0.26 ,0.40 ,0.138837
0.27 ,0.40 ,0.138865
0.28 ,0.40 ,0.138894
0.29 ,0.40 ,0.138923
0.3  ,0.40 ,0.138951
0.31 ,0.40 ,0.13898
0.32 ,0.40 ,0.139008
0.33 ,0.40 ,0.139037
0.34 ,0.40 ,0.139065
0.35 ,0.40 ,0.139094
0.36 ,0.40 ,0.139122
0.37 ,0.40 ,0.139151
0.38 ,0.40 ,0.139179
0.39 ,0.40 ,0.139208
0.4  ,0.40 ,0.139237
0.41 ,0.40 ,0.139265
0.42 ,0.40 ,0.139294
0.43 ,0.40 ,0.139322
0.44 ,0.40 ,0.139351
0.45 ,0.40 ,0.139379
0.46 ,0.40 ,0.139408
0.47 ,0.40 ,0.139436
0.48 ,0.40 ,0.139465
0.49 ,0.40 ,0.139494
0.5  ,0.40 ,0.139522
0.51 ,0.40 ,0.139551
0.52 ,0.40 ,0.139579
0.53 ,0.40 ,0.139608
0.54 ,0.40 ,0.139636
0.55 ,0.40 ,0.139665
0.56 ,0.40 ,0.139693
0.57 ,0.40 ,0.139722
0.58 ,0.40 ,0.13975
0.59 ,0.40 ,0.139779
0.6  ,0.40 ,0.139808
0.61 ,0.40 ,0.139836
0.62 ,0.40 ,0.139865
0.63 ,0.40 ,0.139893
0.64 ,0.40 ,0.139922
0.65 ,0.40 ,0.13995
0.66 ,0.40 ,0.139979
0.67 ,0.40 ,0.140007
0.68 ,0.40 ,0.140036
0.69 ,0.40 ,0.140065
0.7  ,0.40 ,0.140093
0.71 ,0.40 ,0.140122
0.72 ,0.40 ,0.14015
0.73 ,0.40 ,0.140179
0.74 ,0.40 ,0.140207
0.75 ,0.40 ,0.140236
0.76 ,0.40 ,0.140264
0.77 ,0.40 ,0.140293
0.78 ,0.40 ,0.140321
0.79 ,0.40 ,0.14035
0.8  ,0.40 ,0.140379
0.81 ,0.40 ,0.140071
0.82 ,0.40 ,0.139573
0.83 ,0.40 ,0.138446
0.84 ,0.40 ,0.136918
0.85 ,0.40 ,0.135469
0.86 ,0.40 ,0.13405
0.87 ,0.40 ,0.133056
0.88 ,0.40 ,0.13224
0.89 ,0.40 ,0.131878
0.9  ,0.40 ,0.131657
0.91 ,0.40 ,0.132034
0.92 ,0.40 ,0.132566
0.93 ,0.40 ,0.132992
0.94 ,0.40 ,0.133359
0.95 ,0.40 ,0.133963
0.96 ,0.40 ,0.134668
0.97 ,0.40 ,0.135592
0.98 ,0.40 ,0.136624
0.99 ,0.40 ,0.137962
1    ,0.40 ,0.139414
1.01 ,0.40 ,0.140827
1.02 ,0.40 ,0.142226
1.03 ,0.40 ,0.144104
1.04 ,0.40 ,0.146093
1.05 ,0.40 ,0.148509
1.06 ,0.40 ,0.15109
1.07 ,0.40 ,0.155143
1.08 ,0.40 ,0.159488
1.09 ,0.40 ,0.163833
1.1  ,0.40 ,0.168178
1.11 ,0.40 ,0.172118
1.12 ,0.40 ,0.175477
1.13 ,0.40 ,0.178836
1.14 ,0.40 ,0.182195
1.15 ,0.40 ,0.185554
1.16 ,0.40 ,0.188914
1.17 ,0.40 ,0.192273
1.18 ,0.40 ,0.195632
1.19 ,0.40 ,0.198991
1.2  ,0.40 ,0.201745
1.21 ,0.40 ,0.204187
1.22 ,0.40 ,0.206628
1.23 ,0.40 ,0.20907
1.24 ,0.40 ,0.211512
1.25 ,0.40 ,0.213953
1.26 ,0.40 ,0.216395
1.27 ,0.40 ,0.218837
1.28 ,0.40 ,0.221279
1.29 ,0.40 ,0.22372
1.3  ,0.40 ,0.226162
1.31 ,0.40 ,0.228604
1.32 ,0.40 ,0.231046
1.33 ,0.40 ,0.233487
1.34 ,0.40 ,0.235929
1.35 ,0.40 ,0.238371
1.36 ,0.40 ,0.240812
1.37 ,0.40 ,0.243254
1.38 ,0.40 ,0.245696
1.39 ,0.40 ,0.248138
1.4  ,0.40 ,0.250579
1.41 ,0.40 ,0.253021
0.21 ,0.50 ,0.168832
0.22 ,0.50 ,0.168862
0.23 ,0.50 ,0.168893
0.24 ,0.50 ,0.168923
0.25 ,0.50 ,0.168954
0.26 ,0.50 ,0.168984
0.27 ,0.50 ,0.169015
0.28 ,0.50 ,0.169046
0.29 ,0.50 ,0.169076
0.3  ,0.50 ,0.169107
0.31 ,0.50 ,0.169137
0.32 ,0.50 ,0.169168
0.33 ,0.50 ,0.169198
0.34 ,0.50 ,0.169229
0.35 ,0.50 ,0.16926
0.36 ,0.50 ,0.16929
0.37 ,0.50 ,0.169321
0.38 ,0.50 ,0.169351
0.39 ,0.50 ,0.169382
0.4  ,0.50 ,0.169412
0.41 ,0.50 ,0.169443
0.42 ,0.50 ,0.169474
0.43 ,0.50 ,0.169504
0.44 ,0.50 ,0.169535
0.45 ,0.50 ,0.169565
0.46 ,0.50 ,0.169596
0.47 ,0.50 ,0.169626
0.48 ,0.50 ,0.169657
0.49 ,0.50 ,0.169688
0.5  ,0.50 ,0.169718
0.51 ,0.50 ,0.169749
0.52 ,0.50 ,0.169779
0.53 ,0.50 ,0.16981
0.54 ,0.50 ,0.16984
0.55 ,0.50 ,0.169871
0.56 ,0.50 ,0.169902
0.57 ,0.50 ,0.169932
0.58 ,0.50 ,0.169963
0.59 ,0.50 ,0.169993
0.6  ,0.50 ,0.170024
0.61 ,0.50 ,0.170054
0.62 ,0.50 ,0.170085
0.63 ,0.50 ,0.170115
0.64 ,0.50 ,0.170146
0.65 ,0.50 ,0.170177
0.66 ,0.50 ,0.170207
0.67 ,0.50 ,0.170238
0.68 ,0.50 ,0.170268
0.69 ,0.50 ,0.170299
0.7  ,0.50 ,0.170329
0.71 ,0.50 ,0.17036
0.72 ,0.50 ,0.170391
0.73 ,0.50 ,0.170176
0.74 ,0.50 ,0.169855
0.75 ,0.50 ,0.169534
0.76 ,0.50 ,0.169214
0.77 ,0.50 ,0.16832
0.78 ,0.50 ,0.167105
0.79 ,0.50 ,0.16589
0.8  ,0.50 ,0.164675
0.81 ,0.50 ,0.16336
0.82 ,0.50 ,0.161982
0.83 ,0.50 ,0.160605
0.84 ,0.50 ,0.159227
0.85 ,0.50 ,0.157661
0.86 ,0.50 ,0.155993
0.87 ,0.50 ,0.154326
0.88 ,0.50 ,0.152659
0.89 ,0.50 ,0.151484
0.9  ,0.50 ,0.150534
0.91 ,0.50 ,0.150014
0.92 ,0.50 ,0.149663
0.93 ,0.50 ,0.149542
0.94 ,0.50 ,0.14954
0.95 ,0.50 ,0.150018
0.96 ,0.50 ,0.150743
0.97 ,0.50 ,0.151468
0.98 ,0.50 ,0.152194
0.99 ,0.50 ,0.153231
1    ,0.50 ,0.154392
1.01 ,0.50 ,0.155554
1.02 ,0.50 ,0.156715
1.03 ,0.50 ,0.158352
1.04 ,0.50 ,0.160131
1.05 ,0.50 ,0.161909
1.06 ,0.50 ,0.163688
1.07 ,0.50 ,0.16602
1.08 ,0.50 ,0.168471
1.09 ,0.50 ,0.170923
1.1  ,0.50 ,0.173375
1.11 ,0.50 ,0.175961
1.12 ,0.50 ,0.178832
1.13 ,0.50 ,0.181703
1.14 ,0.50 ,0.184574
1.15 ,0.50 ,0.187446
1.16 ,0.50 ,0.190317
1.17 ,0.50 ,0.193188
1.18 ,0.50 ,0.196059
1.19 ,0.50 ,0.198931
1.2  ,0.50 ,0.201533
1.21 ,0.50 ,0.203978
1.22 ,0.50 ,0.206423
1.23 ,0.50 ,0.208868
1.24 ,0.50 ,0.211312
1.25 ,0.50 ,0.213757
1.26 ,0.50 ,0.216202
1.27 ,0.50 ,0.218647
1.28 ,0.50 ,0.221092
1.29 ,0.50 ,0.223537
1.3  ,0.50 ,0.225982
1.31 ,0.50 ,0.228427
1.32 ,0.50 ,0.230872
1.33 ,0.50 ,0.233317
1.34 ,0.50 ,0.235762
1.35 ,0.50 ,0.238207
1.36 ,0.50 ,0.240652
1.37 ,0.50 ,0.243097
1.38 ,0.50 ,0.245541
1.39 ,0.50 ,0.247986
1.4  ,0.50 ,0.250431
1.41 ,0.50 ,0.252876
0.21 ,0.60 ,0.204841
0.22 ,0.60 ,0.204861
0.23 ,0.60 ,0.204882
0.24 ,0.60 ,0.204902
0.25 ,0.60 ,0.204923
0.26 ,0.60 ,0.204943
0.27 ,0.60 ,0.204963
0.28 ,0.60 ,0.204984
0.29 ,0.60 ,0.205004
0.3  ,0.60 ,0.205025
0.31 ,0.60 ,0.205045
0.32 ,0.60 ,0.205066
0.33 ,0.60 ,0.205086
0.34 ,0.60 ,0.205107
0.35 ,0.60 ,0.205127
0.36 ,0.60 ,0.205147
0.37 ,0.60 ,0.205168
0.38 ,0.60 ,0.205188
0.39 ,0.60 ,0.205209
0.4  ,0.60 ,0.205229
0.41 ,0.60 ,0.20525
0.42 ,0.60 ,0.20527
0.43 ,0.60 ,0.205291
0.44 ,0.60 ,0.205311
0.45 ,0.60 ,0.205331
0.46 ,0.60 ,0.205352
0.47 ,0.60 ,0.205372
0.48 ,0.60 ,0.205393
0.49 ,0.60 ,0.205413
0.5  ,0.60 ,0.205434
