M,FL,Setting,Ta
1.14,400,Mil,NaN
1.15,400,Mil,NaN
1.16,400,Mil,NaN
1.17,400,Mil,NaN
1.18,400,Mil,NaN
1.19,400,Mil,NaN
1.2,NaN,Mil,NaN
1.21,NaN,Mil,NaN
1.22,NaN,Mil,NaN
1.23,NaN,Mil,NaN
1.24,NaN,Mil,NaN
1.25,NaN,Mil,NaN
0,NaN,Mil,NaN
0.01,NaN,Mil,NaN
0.02,NaN,Mil,NaN
0.03,NaN,Mil,NaN
0.04,NaN,Mil,NaN
0.05,NaN,Mil,NaN
0.06,NaN,Mil,NaN
0.07,NaN,Mil,NaN
0.08,NaN,Mil,NaN
0.09,NaN,Mil,NaN
0.1,NaN,Mil,NaN
0.11,NaN,Mil,NaN
0.12,NaN,Mil,NaN
0.13,NaN,Mil,NaN
0.14,NaN,Mil,NaN
0.15,NaN,Mil,NaN
0.16,NaN,Mil,NaN
0.17,NaN,Mil,NaN
0.18,NaN,Mil,NaN
0.19,NaN,Mil,NaN
0.2,NaN,Mil,NaN
0.21,NaN,Mil,NaN
0.22,NaN,Mil,NaN
0.23,NaN,Mil,NaN
0.24,NaN,Mil,NaN
0.25,NaN,Mil,NaN
0.26,NaN,Mil,NaN
0.27,NaN,Mil,NaN
0.28,NaN,Mil,NaN
0.29,NaN,Mil,NaN
0.3,NaN,Mil,NaN
0.31,NaN,Mil,NaN
0.32,NaN,Mil,NaN
0.33,NaN,Mil,NaN
0.34,NaN,Mil,NaN
0.35,NaN,Mil,NaN
0.36,NaN,Mil,NaN
0.37,NaN,Mil,NaN
0.38,NaN,Mil,NaN
0.39,NaN,Mil,NaN
0.4,NaN,Mil,NaN
0.41,NaN,Mil,NaN
0.42,NaN,Mil,NaN
0.43,NaN,Mil,NaN
0.44,NaN,Mil,NaN
0.45,NaN,Mil,NaN
0.46,NaN,Mil,NaN
0.47,NaN,Mil,NaN
0.48,NaN,Mil,NaN
0.49,NaN,Mil,NaN
0.5,NaN,Mil,NaN
0.51,NaN,Mil,NaN
0.52,NaN,Mil,NaN
0.53,NaN,Mil,NaN
0.54,NaN,Mil,NaN
0.55,NaN,Mil,NaN
0.56,NaN,Mil,NaN
0.57,NaN,Mil,NaN
0.58,NaN,Mil,NaN
0.59,NaN,Mil,NaN
0.6,NaN,Mil,NaN
0.61,NaN,Mil,NaN
0.62,500,Mil,NaN
0.63,500,Mil,NaN
0.64,500,Mil,NaN
0.65,500,Mil,NaN
0.66,500,Mil,NaN
0.67,500,Mil,NaN
0.68,500,Mil,NaN
0.69,500,Mil,NaN
0.7,500,Mil,NaN
0.71,500,Mil,NaN
0.72,500,Mil,NaN
0.73,500,Mil,NaN
0.74,500,Mil,NaN
0.75,500,Mil,2.92586225
0.76,500,Mil,2.982621557
0.77,500,Mil,3.039336383
0.78,500,Mil,3.096140173
0.79,500,Mil,3.153032928
0.8,500,Mil,3.209970164
0.81,500,Mil,3.267040848
0.82,500,Mil,3.324244978
0.83,500,Mil,3.381716001
0.84,500,Mil,3.4394984
0.85,500,Mil,3.497503209
0.86,500,Mil,3.55533009
0.87,500,Mil,3.612489738
0.88,500,Mil,3.668581813
0.89,500,Mil,3.723428385
0.9,500,Mil,3.77711842
0.91,500,Mil,3.829740882
0.92,500,Mil,3.881607146
0.93,500,Mil,3.932895141
0.94,500,Mil,3.983782796
0.95,500,Mil,4.034359076
0.96,500,Mil,4.084712945
0.97,500,Mil,4.134888885
0.98,500,Mil,4.184886896
0.99,500,Mil,4.234795942
1,500,Mil,4.284660506
1.01,500,Mil,4.334436106
1.02,500,Mil,NaN
1.03,500,Mil,NaN
1.04,500,Mil,NaN
1.05,500,Mil,NaN
1.06,500,Mil,NaN
1.07,500,Mil,NaN
1.08,500,Mil,NaN
1.09,500,Mil,NaN
1.1,500,Mil,NaN
1.11,500,Mil,NaN
1.12,NaN,Mil,NaN
1.13,NaN,Mil,NaN
1.14,NaN,Mil,NaN
1.15,NaN,Mil,NaN
1.16,NaN,Mil,NaN
1.17,NaN,Mil,NaN
1.18,NaN,Mil,NaN
1.19,NaN,Mil,NaN
1.2,NaN,Mil,NaN
1.21,NaN,Mil,NaN
1.22,NaN,Mil,NaN
1.23,NaN,Mil,NaN
1.24,NaN,Mil,NaN
1.25,NaN,Mil,NaN
