ID;full_name;type;b;S;CD0;K;Ta0;Pa0;cT;cP;Neng;CLmax_cl;CLmax_to;CLmax_ld;nlim;MMO;VMO;MTOM;MLM;MZFM;MPLM;MFM;OEM
B737;Boeing 737-700;Simplified Jet;34.27827300200522;125.0;;;;214.0;;;;;;;2.5310255952974257;;;;70100;58060;;;;38140
B738;Boeing 737-800;Simplified Jet;34.27827300200522;125.0;;;;233.0;;;;;;;2.3975456032158275;;;;79000;63320;;;;41140
B739;Boeing 737-900;Simplified Jet;34.27827300200522;125.0;;;;233.0;;;;;;;2.4131510049071054;;;;79015;66360;;;;42490
B37M;Boeing 737Max7;Simplified Jet;35.814801409473155;127.0;;;;260.0;;;;;;;2.5295192687862205;;;;80000;66040;;;;43000
B38M;Boeing 737Max8;Simplified Jet;35.814801409473155;127.0;;;;260.0;;;;;;;2.6547695414835397;;;;82600;69310;;;;45000
B39M;Boeing 737Max9;Simplified Jet;35.814801409473155;127.0;;;;260.0;;;;;;;2.6607677655521633;;;;88300;74340;;;;50000
B3XM;Boeing 737Max10;Simplified Jet;35.814801409473155;127.0;;;;260.0;;;;;;;2.513997253874625;;;;89800;75000;;;;51000
B752;Boeing 757-200;Simplified Jet;38.01249794475496;185.25;;;;387.0;;;;;;;2.936874736005547;;;;115680;89900;;;;58390
B753;Boeing 757-300;Simplified Jet;37.5946804747693;181.2;;;;387.0;;;;;;;2.8043621219546;;;;123600;101600;;;;63650
B762;Boeing 767-200ER;Simplified Jet;47.60672221441001;283.3;;;;563.0;;;;;;;2.6955714129887647;;;;179170;136080;;;;82380
B763;Boeing 767-300ER;Simplified Jet;47.60672221441001;283.3;;;;563.0;;;;;;;2.6735299102267622;;;;186880;145150;;;;85235
B764;Boeing 767-400ER;Simplified Jet;51.9952882480711;290.7;;;;565.0;;;;;;;2.48247105376069;;;;204120;158760;;;;103870
B772;Boeing 777-200;Simplified Jet;61.007048773072114;427.8;;;;753.0;;;;;;;2.5450258058284567;;;;247210;208650;;;;135600
B773;Boeing 777-300;Simplified Jet;61.007048773072114;427.8;;;;872.0;;;;;;;2.559469594075087;;;;299370;237680;;;;158480
B77L;Boeing 777-200LR;Simplified Jet;64.0849436295297;427.8;;;;1028.0;;;;;;;2.722134718843694;;;;347500;223170;;;;156030
B77W;Boeing 777-300ER;Simplified Jet;64.0849436295297;427.8;;;;1020.0;;;;;;;2.70602959565436;;;;351500;251290;;;;168700
B788;Boeing 787-800;Simplified Jet;55.85696017507576;325.0;;;;560.0;;;;;;;2.7680152725401834;;;;227900;172400;;;;119950
CRJ1;Bombardier CRJ-100;Simplified Jet;21.2160316741845;48.4;;;;82.0;;;;;;;2.3502361546782864;;;;21500;20270;;;;13650
CRJ2;Bombardier CRJ-200;Simplified Jet;21.2160316741845;48.4;;;;82.0;;;;;;;2.298563045702735;;;;23130;21320;;;;13830
CRJ7;Bombardier CRJ-700;Simplified Jet;23.163764806265842;70.6;;;;123.0;;;;;;;2.415622771234635;;;;33000;30390;;;;19730
CRJ9;Bombardier CRJ-900;Simplified Jet;24.87106752835511;71.1;;;;117.0;;;;;;;2.685145503866797;;;;38330;34020;;;;21430
CRJX;Bombardier CRJ-1000;Simplified Jet;26.246142573719286;77.4;;;;129.0;;;;;;;2.8906295507670987;;;;40824;36970;;;;23188
DC85;Douglas DC8-50;Simplified Jet;43.49885055952628;266.5;;;;322.0;;;;;;;2.0126107603081698;;;;147700;98430;;;;62700
DC86;Douglas DC8-60;Simplified Jet;45.15805575974235;271.9;;;;340.0;;;;;;;2.1327339791173046;;;;148000;111130;;;;69740
DC87;Douglas DC8-70;Simplified Jet;45.15805575974235;271.9;;;;392.0;;;;;;;2.093202778510113;;;;162025;117000;;;;75500
DC91;Douglas DC9-10;Simplified Jet;27.35324478009876;87.0;;;;125.0;;;;;;;2.5030956613107094;;;;41100;37100;;;;22300
DC92;Douglas DC9-20;Simplified Jet;28.44468315872054;93.0;;;;133.0;;;;;;;2.9455337903664893;;;;44500;43200;;;;23880
DC93;Douglas DC9-30;Simplified Jet;28.44468315872054;93.0;;;;133.0;;;;;;;3.122811287008917;;;;49940;45800;;;;25400
DC94;Douglas DC9-40;Simplified Jet;28.44468315872054;93.0;;;;138.0;;;;;;;2.964815548020097;;;;51700;46265;;;;27800
DC95;Douglas DC9-50;Simplified Jet;28.44468315872054;93.0;;;;142.0;;;;;;;3.2471439757157756;;;;54885;49900;;;;29300
DC10;McDonnel Douglas DC-10-30;Simplified Jet;50.40833264451424;338.8;;;;721.0;;;;;;;2.4855980857151008;;;;259459;182800;;;;121600
E145;Embraer ERJ-145LR;Simplified Jet;19.983993594874875;51.2;;;;63.0;;;;;;;2.115390082333884;;;;22000;19300;;;;12000
E170;Embraer 170;Simplified Jet;26.002115298567542;72.7;;;;128.0;;;;;;;2.730381804468194;;;;35990;32800;;;;21140
E190;Embraer 190;Simplified Jet;28.692333470807146;92.5;;;;181.0;;;;;;;2.770478501121884;;;;47800;43000;;;;28080
E195;Embraer 195;Simplified Jet;28.692333470807146;92.5;;;;204.0;;;;;;;2.730070718217207;;;;48790;45000;;;;28790
F100;Fokker 100;Simplified Jet;28.02498884923953;93.5;;;;135.0;;;;;;;2.5825291547133897;;;;45810;39900;;;;24375
F70;Fokker 70;Simplified Jet;28.02498884923953;93.5;;;;123.0;;;;;;;2.415009110024132;;;;38100;36740;;;;22800
F28;Fokker 28;Simplified Jet;25.13961017995307;79.0;;;;88.0;;;;;;;2.611618548126628;;;;33110;31520;;;;17640
L101;Lockheed L1011;Simplified Jet;47.32863826479693;320.0;;;;645.0;;;;;;;2.723209630893243;;;;200000;167000;;;;110000
