name;type;b;S;CD0;K;Ta0;cT;Neng;CLmax_cl;CLmax_to;CLmax_ld;nlim;MMO;VMO;MTOM;MLM;MZFM;MPLM;MFM;OEM
"A320-200";"Simplified Jet";35.8;124;0.018;0.039;235.800;0.0154;2;1.6;2.07;2.99;2.5;0.82;180.056;78000;66000;62500;19900;24210;42600
"B777-300ER";"Simplified Jet";64.8;436.8;0.024;0.043;1027.800;0.0147;2;1.25;1.77;2.63;2.5;0.89;169.76;351500;251300;62500;19900;181300;167800
